Date,Close,fng,Price_Range_Pct,MA_5,MA_20,Upper_BB,Middle_BB,Lower_BB,RSI,MACD,OBV
2021-07-02,139.9600067138672,19.3,0.016316171860667222,137.06000366210938,131.87750015258788,139.75990394530623,131.87750015258788,123.99509635986955,76.96965944886291,3.280565658906795,249428200.0
2021-07-06,142.02000427246094,16.53335,0.021988908483001706,138.50800476074218,132.683500289917,141.22526384692458,132.683500289917,124.14173673290942,79.74175494593419,3.6283025470966095,357610000.0
2021-07-07,144.57000732421875,16.16665,0.015535710128492107,140.156005859375,133.57500076293945,143.11310319306688,133.57500076293945,124.03689833281204,82.5429167085215,4.062816847703516,462521600.0
2021-07-08,143.24000549316406,13.43335,0.023944055274795612,141.41200561523436,134.38050117492676,144.31805235981432,134.38050117492676,124.44294999003921,76.5941340550491,4.250851360542697,356946100.0
2021-07-09,145.11000061035156,15.76665,0.021015761821366025,142.9800048828125,135.33050117492675,145.55249311688715,135.33050117492675,125.10850923296636,78.89698445919169,4.498902496924046,456836900.0
2021-07-12,144.5,16.53335,0.01586763708149608,143.88800354003905,136.1880012512207,146.4654596338757,136.1880012512207,125.91054286856568,76.26114582102642,4.5933139938680085,380537200.0
2021-07-13,145.63999938964844,15.16665,0.026591695226794786,144.61200256347655,136.94600143432618,147.65486141319164,136.94600143432618,126.23714145546072,77.75674684224742,4.705877779036882,481364300.0
2021-07-14,149.14999389648438,14.81665,0.012761745918608942,145.5279998779297,137.92150115966797,149.3226079663902,137.92150115966797,126.52039435294574,81.60044899480681,5.020440103813797,608415100.0
2021-07-15,148.47999572753906,13.4,0.019498817709723736,146.57599792480468,138.8380012512207,150.53596873393465,138.8380012512207,127.14003376850675,78.80123370658627,5.156231927654062,501594800.0
2021-07-16,146.38999938964844,11.31665,0.02613491478214395,146.83199768066407,139.5680015563965,151.23772706155628,139.5680015563965,127.89827605123669,70.65859200893576,5.037137700829305,408343400.0
2021-07-19,142.4499969482422,6.9037,0.01669571586277174,146.4219970703125,140.16750106811523,151.11350308643233,140.16750106811523,129.22149904979813,58.40605949356231,4.572124790460379,286908800.0
2021-07-20,146.14999389648438,10.31665,0.028858212713636065,146.52399597167968,140.86000061035156,151.4748617400053,140.86000061035156,130.24513948069782,64.61198606224836,4.45085090167828,383258800.0
2021-07-21,145.39999389648438,12.23335,0.010307153250752245,145.77399597167968,141.43100051879884,151.72791887285737,141.43100051879884,131.1340821647403,62.573937031446405,4.245284739223052,308265300.0
2021-07-22,146.8000030517578,12.6,0.016376588664290335,145.43799743652343,142.08600082397462,151.99165478467964,142.08600082397462,132.1803468632696,64.80560382537377,4.147530957785932,385603500.0
